iter,train err,valid err,time (s)
1000,0.76046755164861679077,0.82763281278610234537,390.709
2000,0.78766574323177340755,0.81341061792373658967,389.674
3000,0.77245087003707890716,0.79712215318679813247,387.523
4000,0.77676095628738406340,0.80789368619918822123,387.454
5000,0.76932662314176558649,0.81278957142829899585,389.306
6000,0.77702058488130565372,0.79182072887420651419,387.783
7000,0.77031718796491621681,0.79867811055183413060,388.99
8000,0.76982782340049749070,0.78912549200057979792,389.161
9000,0.76181701689958569723,0.78196185297966003258,388.952
10000,0.75688861292600628783,0.77264716191291804570,392.297
1000,0.75676406574249266423,0.79480651168823246433,390.472
2000,0.74835512584447860807,0.78564947948455809978,388.514
3000,0.74462156289815906174,0.77420596752166748189,389.795
4000,0.75719477236270904541,0.79932522873878475433,388.621
5000,0.74923019325733186680,0.77328736619949345332,389.619
6000,0.73464856287837032589,0.76993539528846743902,387.832
7000,0.74288534873723988117,0.78172047700881952537,387.914
8000,0.74149530017375941959,0.76488601274490353177,388.584
9000,0.73350803154706956111,0.76091898293495174865,387.531
10000,0.73601348432898516805,0.76849995708465579369,390.809
1000,0.72573380869627002188,0.75887658853530881586,397.25
2000,0.72599961364269260944,0.76309348902702334172,395.304
3000,0.72718174451589578933,0.76307580237388605848,388.827
4000,0.71989654684066772816,0.75334764885902405496,388.43
5000,0.71664290547370912421,0.76194217481613157883,397.491
6000,0.72183147865533825449,0.75029883027076715862,390.148
7000,0.71559917366504666170,0.74622251954078677727,390.751
8000,0.71445869135856632237,0.74987426915168764463,391.115
9000,0.71538811287283898821,0.74532752776145938522,390.204
10000,0.71440511620044711005,0.74927739329338072238,387.223
1000,0.70524865031242367497,0.75069986834526059027,388.325
2000,0.70316621068119999904,0.74739918580055242359,386.036
3000,0.69947252741456034109,0.73593822951316834047,389.866
4000,0.69717285770177839233,0.73830553812980648232,390.572
5000,0.69537720799446101072,0.73726595706939701547,389.645
6000,0.69643702238798144144,0.73037995460033411366,388.01
7000,0.69214738547801968327,0.72121667611598971881,389.424
8000,0.69683423641324038211,0.73219196333885194772,387.306
9000,0.69425127071142200830,0.72506409492492673863,388.474
10000,0.68590210613608360024,0.72695988001823430569,389.644
1000,0.67203717684745789551,0.72829690980911254705,388.335
2000,0.68462519568204882603,0.71523968563079831640,388.69
3000,0.67268864974379538602,0.71962474102973938983,388.541
4000,0.67069883880019187661,0.72402456476688381581,388.202
5000,0.67282477593421941009,0.71161929275989532773,388.067
6000,0.66959179571270943665,0.71531863753795621452,390.118
7000,0.67654117792844770118,0.71550420923233026826,388.429
8000,0.66537292706966399969,0.70567779476642611414,389.41
9000,0.66999045556783676236,0.71011815700531011331,387.542
10000,0.67449302712082859212,0.70542779531478883026,388.682
1000,0.66389799565076823562,0.71722045860290528640,389.144
2000,0.66131501907110212812,0.70410726549625402004,388.942
3000,0.65783863043785095748,0.69925965647697452265,389.219
4000,0.65127308246493342825,0.70345012865066525176,387.655
5000,0.65635347837209701005,0.70092141959667209061,389.21
6000,0.64968408843874936309,0.69805389094352721102,389.802
7000,0.65085147342085836186,0.69546210398674013220,388.804
8000,0.64951364681124690303,0.69536128118038176282,388.363
9000,0.65185387137532235791,0.68899431583881376451,388.629
10000,0.64472677141427991998,0.69047446072101592573,389.663
1000,0.63108949753642085145,0.68905839180946348854,388.669
2000,0.63404122588038447361,0.69264625191688533601,389.135
3000,0.63706650701165201678,0.69165783245563505766,388.359
4000,0.63331353881955143592,0.68802560327053075007,388.267
5000,0.63643527925014498070,0.68253878526687616901,387.392
6000,0.62970066985487938016,0.68484130003452303725,388.95
7000,0.63323888355493540558,0.67846106688976293153,389.867
8000,0.62612918022274965946,0.67825882503986356653,389.711
9000,0.62505532047152523312,0.68010842261314397028,389.425
10000,0.62811624297499657477,0.67695816619396209646,388.695
1000,0.61349134308099750879,0.67451695487499241377,389.629
2000,0.61757728448510174069,0.67813539361953734108,389.264
3000,0.61734287753701211354,0.67352185609340664563,388.92
4000,0.61466807633638387287,0.67241416895389560793,390.363
5000,0.61098539093136783329,0.66611666007041936410,390.346
6000,0.61026763358712199370,0.66714683082103731770,389.15
7000,0.61165302452445025061,0.66640589826107021754,389.344
8000,0.61325310990214343398,0.66494835028648380248,390.125
9000,0.61025886538624762867,0.66744063220024107963,395.346
10000,0.60854812622070308947,0.65938389418125153973,390.675
1000,0.59594547608494763402,0.66335082135200496012,391.031
2000,0.59196427482366564821,0.65805540952682495259,391.319
3000,0.59762238514423371427,0.65958545613288876996,390.84
4000,0.59426132231950756779,0.65502431335449218253,391.104
5000,0.59459177246689798313,0.65644729878902430276,388.907
6000,0.59640583136677738363,0.65384019262790682436,390.329
7000,0.59024471983313564483,0.65514407770633698025,389.249
8000,0.58896597620844837184,0.65471897473335260997,389.94
9000,0.59065308254957193945,0.64781056611537934931,389.394
10000,0.59451173040270810510,0.65548917639255521728,388.461
1000,0.58164219400286676365,0.64971776423454286054,389.707
2000,0.57746816357970243150,0.65364519081115723953,388.631
3000,0.58270769363641738980,0.64479270348548889391,388.896
4000,0.57491508513689038029,0.64752335157394413923,389.031
5000,0.57529684630036359572,0.64223048074245447925,387.299
6000,0.57563321653008459045,0.64415459959506993215,389.512
7000,0.57186177819967265457,0.64222782630920405289,388.649
8000,0.57188750955462452907,0.64156067924499515787,389.565
9000,0.56984013882279394014,0.63897142977714538326,389.519
10000,0.57065163570642474244,0.64030520467758178516,389.052
1000,0.56092163437604902754,0.63868663890361787594,387.686
2000,0.55905944016575814803,0.63882485938072208764,389.532
3000,0.56422431480884549515,0.63843767766952519427,390.338
4000,0.55584743887186049971,0.63489949147701263410,389.055
5000,0.55982254314422608132,0.63850621061325074646,387.657
6000,0.56044559079408640123,0.63147408092021939385,390.34
7000,0.55630928087234499113,0.63298296809196474833,388.144
8000,0.55702698355913160544,0.63351456563472752226,388.756
9000,0.55379501736164093995,0.63054494001865390995,389.352
10000,0.55090848809480663650,0.62900516932010652749,389.3
1000,0.54554531338810918761,0.63077799634933473527,389.075
2000,0.54617789575457575957,0.62924430599212644033,388.432
3000,0.54500023812055586880,0.62872861282825465157,388.9
4000,0.54621909749507902010,0.62800959582328796937,388.922
5000,0.54054721319675447244,0.62755942554473875816,389.114
6000,0.54151096513867380544,0.62850626981258395087,389.939
7000,0.54331070458889008101,0.62749313728809352764,390.227
8000,0.53900234681367875655,0.62573396127223968044,389.862
9000,0.54413401260972027451,0.62606186366081240102,389.049
10000,0.53863331907987599401,0.62392181291580195435,389.196
1000,0.53487701129913334253,0.62547729594707490719,387.818
2000,0.53398418101668354563,0.62589831266403195276,389.51
3000,0.52790146973729135116,0.62210349860191349602,388.636
4000,0.53307701250910755064,0.62625597968101498481,390.798
5000,0.53231147986650462212,0.62266120307445527171,388.919
6000,0.52825087782740598463,0.62112137222290042526,389.328
7000,0.52984585446119303320,0.62312411849498750005,388.957
8000,0.52726677420735357238,0.62261078066825870092,387.636
9000,0.52956376358866696918,0.62113582041263581957,389.155
10000,0.53044663277268411239,0.62007201015949253708,389.331
1000,0.52275806352496145823,0.62209622464179992196,389.079
2000,0.52238911941647525605,0.62122544403076174202,390.32
3000,0.52413598027825358816,0.62057931220531459271,387.518
4000,0.51878867769241332475,0.62097558760643001285,389.465
