iter,train err,valid err,time (s)
5000,0.52455629709362983082,0.62175774333477018541,390.453
6000,0.52559245973825452491,0.61979027223587035422,389.007
7000,0.52191551753878595576,0.62048522942066197672,388.308
8000,0.51922505530714990751,0.61923313705921168015,389.621
9000,0.51930016091465946992,0.61866786344051361013,389.068
10000,0.52479412606358533111,0.61896557769775395474,391.517
1000,0.51755028849840167826,0.62029495434761050543,391.076
2000,0.51618907275795933298,0.61970116376876827058,387.503
3000,0.51645467942953104945,0.61852736418247222794,388.388
4000,0.51700096714496612815,0.61796242904663090112,390.975
5000,0.51818293163180351169,0.61849738471508031168,389.652
6000,0.51945452967286109835,0.61880261125564572922,390.329
7000,0.51772827458381653898,0.61859387297630308300,389.054
8000,0.51786075302958489708,0.61888241794109344340,388.941
9000,0.51684867069125173256,0.61900836539268488945,390.041
10000,0.51597808915376663919,0.61871430506706237562,389.676
1000,0.51347953173518179337,0.61935234575271602697,389.432
2000,0.51628498947620393711,0.61917131488323207122,389.984
3000,0.51504631233215336650,0.61847128741741175251,390.623
4000,0.51684626740217209928,0.61854249534606930983,389.982
5000,0.51245501816272731599,0.61880980620384218316,389.406
6000,0.51375112101435660428,0.61857531144618993491,389.854
7000,0.51545942896604535211,0.61868416647911073092,389.565
8000,0.51796580404043202073,0.61875013198852535368,388.358
9000,0.51327608159184456849,0.61869565789699554337,390.767
10000,0.51624524551630024405,0.61868969845771792926,391.686
