batch_size       : 8
epochs           : 31
nf               : 32
loss             : <function kldiv_loss at 0x14b3f7d8aa70>
eval_metrics_names: ['KL Divergence', 'Sparsity']
eval_metrics     : [<function kldiv_loss at 0x14b3f7d8aa70>, <function sparsity at 0x14b3f7d8a7a0>]
norm_params      : [<class 'torch.nn.modules.instancenorm.InstanceNorm2d'>, 1e-20, 0.1, True, False]
optimizer_params : [<class 'torch.optim.sgd.SGD'>, 0.0005, 0.99, 0, 0, True]
scheduler_params : [<class 'torch.optim.lr_scheduler.CosineAnnealingWarmRestarts'>, 10, 2, 0, -1]
scheduler_interval: 0.1
eval_interval    : 0.1
model_type       : <class 'models.BarycentricUNet'>
with_skip_co     : True
model_params_names: ['nf', 'norm_params', 'with_skip_co']


Number of weights: 22015681
n_iter_interval=1000
n_iter_lr_interval=1000
Total number of iterations: 310000
iter    -- train err              -- valid err              -- time (s)
1000    -- 0.87538101491332054316 -- 0.57894131071567533908 -- 601.998 
2000    -- 0.52269787362217901006 -- 0.46974528222084044327 -- 587.477 
3000    -- 0.43705661198496820186 -- 0.42345500419139864290 -- 587.517 
4000    -- 0.39689974734187127847 -- 0.39451518969535825931 -- 589.438 
5000    -- 0.36194945538043976629 -- 0.34838291087150574654 -- 587.548 
6000    -- 0.33622624385356902899 -- 0.33403825608491899413 -- 589.437 
7000    -- 0.32485700023174285400 -- 0.31993408123254774011 -- 588.32  
8000    -- 0.30804276326298712929 -- 0.30748527293205263344 -- 587.879 
9000    -- 0.29797155371308325922 -- 0.29694922955036162637 -- 589.315 
10000   -- 0.29009604229032992517 -- 0.29051566208600998475 -- 586.81  
1000    -- 0.33136440898478031203 -- 0.32716510277986526889 -- 589.302 
2000    -- 0.32202996486425400358 -- 0.31646047857999803909 -- 588.996 
3000    -- 0.30983146438002584500 -- 0.30860451755523682360 -- 591.128 
4000    -- 0.29695578813552858666 -- 0.30300124531984329312 -- 588.813 
5000    -- 0.29484933891892434188 -- 0.28843140370845793408 -- 587.834 
6000    -- 0.28275198939442636181 -- 0.28760972388982775083 -- 588.162 
7000    -- 0.28046281301975251044 -- 0.27777637119293213663 -- 588.459 
8000    -- 0.27348414024710654413 -- 0.27224168187379838013 -- 586.216 
9000    -- 0.26584420613944531597 -- 0.26613942466974260803 -- 589.039 
10000   -- 0.26280789475142957157 -- 0.25997303030490875875 -- 587.931 
1000    -- 0.25454276569187639367 -- 0.25390454120635985724 -- 587.758 
2000    -- 0.24755859574675559420 -- 0.25501577612161635544 -- 588.433 
3000    -- 0.24948671863973140295 -- 0.24774614270925521264 -- 587.836 
4000    -- 0.24159791812300682179 -- 0.24571302727460861415 -- 587.83  
5000    -- 0.23832143521308898904 -- 0.23985478234291077171 -- 587.275 
6000    -- 0.23601006840169430623 -- 0.23775452802181243350 -- 586.397 
7000    -- 0.23223399496078492299 -- 0.23374092404842375381 -- 587.126 
8000    -- 0.22920444296300410136 -- 0.23190307919979094575 -- 586.062 
9000    -- 0.23021060541272164723 -- 0.23152970319986343473 -- 585.999 
10000   -- 0.22940064008533955775 -- 0.23008700382709504351 -- 587.728 
1000    -- 0.25862647995352744390 -- 0.30399482877254485613 -- 585.846 
2000    -- 0.26359871752560137814 -- 0.26135241106748580142 -- 585.995 
3000    -- 0.25621469275653363518 -- 0.25595167870521545739 -- 586.985 
4000    -- 0.24944778800010680708 -- 0.24793831025362014775 -- 587.721 
5000    -- 0.24774151070415972864 -- 0.24607573754787445686 -- 587.264 
6000    -- 0.24786159048974515384 -- 0.24633239319324493066 -- 587.267 
7000    -- 0.23967907930910586911 -- 0.24056204261779784437 -- 587.436 
8000    -- 0.23759518817067146190 -- 0.23819303096532820629 -- 587.646 
9000    -- 0.23503770989179612050 -- 0.23638816238641738310 -- 587.245 
10000   -- 0.23698905518651008917 -- 0.23706003452539445298 -- 587.476 
1000    -- 0.22896087910234927398 -- 0.22921349718570710463 -- 586.579 
2000    -- 0.22644173339009285306 -- 0.22745393811464309497 -- 586.726 
3000    -- 0.23011826258897780106 -- 0.22771048421859740873 -- 590.291 
4000    -- 0.22192226575314999426 -- 0.22751567504405975639 -- 587.71  
5000    -- 0.22132523429393768932 -- 0.22225486073493957995 -- 587.338 
6000    -- 0.21814376834034920893 -- 0.21931564657688140674 -- 588.741 
7000    -- 0.21835399192571638971 -- 0.21810620397329330555 -- 588.516 
8000    -- 0.22116164407134056291 -- 0.22599950975179672330 -- 588.111 
9000    -- 0.21544547921419143766 -- 0.21784765691757201900 -- 588.459 
10000   -- 0.21370526133477688036 -- 0.21294400249123573987 -- 587.8   
1000    -- 0.20813624571263789065 -- 0.21040047791004182209 -- 587.756 
2000    -- 0.20825186879932880424 -- 0.20837046542167664276 -- 587.345 
3000    -- 0.20615603399276732910 -- 0.20739154531955719674 -- 586.678 
4000    -- 0.20202434143424033430 -- 0.20883691569566725788 -- 587.302 
5000    -- 0.20274116370081901595 -- 0.20365106569528579339 -- 587.5   
6000    -- 0.19920949354767800155 -- 0.20394971332550049237 -- 585.782 
7000    -- 0.19909946845471859778 -- 0.20196671526432036226 -- 586.831 
8000    -- 0.19770229280740023170 -- 0.20134530980587006521 -- 586.626 
9000    -- 0.19525009057670830726 -- 0.20003496547937393846 -- 588.229 
10000   -- 0.19724288150668145558 -- 0.19830217759609222727 -- 588.716 
1000    -- 0.19151929140090942494 -- 0.19664487525820731340 -- 585.527 
2000    -- 0.19328911580890417721 -- 0.19655264558196067215 -- 586.431 
3000    -- 0.19275115434825421112 -- 0.19521922072172165352 -- 587.271 
